tozeret_cd,tozar,kinuy_mishari,ramat_gimur,shnat_yitzur,degem_cd,kvuzat_agra_cd,nefah_manoa,mishkal_kolel,gova,hanaa_cd,hanaa_nm,automatic_ind,mispar_halonot_hashmal,halon_bagg_ind,galgaley_sagsoget_kala_ind,argaz_ind,merkav,sug_degem,delek_cd,delek_nm,mispar_dlatot,koah_sus,mispar_moshavim,bakarat_yatzivut_ind,kosher_grira_im_blamim,kosher_grira_bli_blamim,technologiat_hanaa_cd,technologiat_hanaa_nm,bakarat_stiya_menativ_ind,bakarat_stiya_menativ_makor_hatkana,nitur_merhak_milfanim_ind,nitur_merhak_milfanim_makor_hatkana,zihuy_beshetah_nistar_ind,bakarat_shyut_adaptivit_ind,zihuy_holchey_regel_ind,zihuy_holchey_regel_makor_hatkana,maarechet_ezer_labalam_ind,matzlemat_reverse_ind,hayshaney_lahatz_avir_batzmigim_ind,hayshaney_hagorot_ind,teura_automatit_benesiya_kadima_ind,shlita_automatit_beorot_gvohim_ind,shlita_automatit_beorot_gvohim_makor_hatkana,zihuy_matzav_hitkarvut_mesukenet_ind,zihuy_tamrurey_tnua_ind,zihuy_rechev_do_galgali,zihuy_tamrurey_tnua_makor_hatkana,bakarat_stiya_activ_s,blima_otomatit_nesia_leahor,bakarat_mehirut_isa,n_model
139,מזדה,2,DEMIO COMF,2015,11,2,1496,1536,,1.0,4X2,1,4,0,1,0,סדאן,P,1,בנזין,4,112,5,1,0,0,,הנעה רגילה,1,יצרן,0,,0,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,DEMIO COMF,2016,11,2,1496,1536,,1.0,4X2,1,4,0,1,0,סדאן,P,1,בנזין,4,112,5,1,0,0,,הנעה רגילה,1,יצרן,0,,0,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,DEMIO COMF,2017,11,2,1496,1536,,1.0,4X2,1,4,0,1,0,סדאן,P,1,בנזין,4,112,5,1,0,0,,הנעה רגילה,1,יצרן,0,,0,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,DEMIO PURE B,2015,12,2,1496,1536,,1.0,4X2,1,4,0,1,0,סדאן,P,1,בנזין,4,112,5,1,0,0,,הנעה רגילה,1,יצרן,0,,1,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,DEMIO PURE B,2016,12,2,1496,1536,,1.0,4X2,1,4,0,1,0,סדאן,P,1,בנזין,4,112,5,1,0,0,,הנעה רגילה,1,יצרן,0,,1,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,DEMIO PURE B,2017,12,2,1496,1536,,1.0,4X2,1,4,0,1,0,סדאן,P,1,בנזין,4,112,5,1,0,0,,הנעה רגילה,1,יצרן,0,,1,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,SPORT,2015,13,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,0,0,,הנעה רגילה,1,יצרן,0,,1,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,SPORT,2016,13,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,0,0,,הנעה רגילה,1,יצרן,0,,1,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,SPORT,2016,14,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,1,יצרן,0,,1,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,SPORT,2017,14,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,750,535,,הנעה רגילה,1,יצרן,0,,1,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,DYNAMIC,2017,15,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,0,0,,הנעה רגילה,1,יצרן,0,,0,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,SPORT,2017,16,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,0,0,,הנעה רגילה,1,יצרן,0,,1,0,0,,1,1,1,1,0,0,,1,0,0,,0,0,0,2
139,מזדה,2,DYNAMIC,2017,17,2,1496,1520,,1.0,4X2,1,4,0,1,0,הצ'בק,P,1,בנזין,5,112,5,1,750,540,,הנעה רגילה,1,יצרן,1,מקומי,0,0,1,מקומי,1,1,1,1,0,0,,1,1,1,מקומי,0,0,0,2
