,Make,Model,Year,Rating,Adult_Occupant,Child_Occupant,Vulnerable_Road_Users,Safety_Assist ,video_url
160,Toyota,PRIUS,2009,5,88%,82%,68%,86%,https://www.youtube.com/embed/mD_tuGe_S_s
161,Subaru,LEGACY?,2009,5,79%,73%,58%,71%,https://www.youtube.com/embed/z2gAnW5fT2A
162,Skoda,YETI,2009,5,92%,78%,46%,71%,https://www.youtube.com/embed/CTvP10LSrOU
163,Kia,SORENTO,2009,5,87%,84%,44%,71%,https://www.youtube.com/embed/TItZyPpJVCE
164,Honda,INSIGHT,2009,5,90%,74%,76%,86%,https://www.youtube.com/embed/rwVe5NAGEu0
165,Citroen,C3,2009,4,83%,74%,33%,40%,https://www.youtube.com/embed/3uY-0VRDngk
166,Volvo,C30,2009,5,91%,78%,26%,71%,https://www.youtube.com/embed/ubTxUUBxGds
167,Volkswagen,SCIROCCO,2009,5,87%,73%,53%,71%,https://www.youtube.com/embed/edVRsIZOtjI
168,Peugeot,5008,2009,5,89%,79%,37%,97%,https://www.youtube.com/embed/PCZFsDrxjrk
169,Peugeot,308,2009,5,83%,70%,33%,97%,https://www.youtube.com/embed/USCINF05Vq4
170,Peugeot,308,2009,5,82%,81%,53%,83%,https://www.youtube.com/embed/unT2YA9vjho
171,Mazda,3,2009,5,86%,84%,51%,71%,https://www.youtube.com/embed/5O5Rupm9u80
172,Nissan,FX?,2009,5,86%,77%,44%,99%,https://www.youtube.com/embed/hZ4zob5OhzY
173,Citroen,DS3,2009,5,87%,71%,35%,83%,https://www.youtube.com/embed/b-VO6QoR7ak
174,Citroen,C5,2009,5,81%,77%,32%,83%,https://www.youtube.com/embed/tfwKgbZJjTQ
175,Citroen,C4,2009,5,87%,78%,46%,89%,https://www.youtube.com/embed/lfadGSsqtCE
176,Chevrolet,SPARK,2009,4,81%,78%,43%,43%,https://www.youtube.com/embed/PcAmU3TTbOw
177,Chevrolet,CRUZE,2009,5,96%,84%,34%,71%,https://www.youtube.com/embed/dlVwDdavJWs
178,Toyota,VERSO,2010,5,89%,75%,69%,86%,https://www.youtube.com/embed/xDzg_YbOwts
179,Seat,EXEO?,2010,4,77%,81%,50%,57%,https://www.youtube.com/embed/yOEToKDaiqU
180,Nissan,CUBE?,2010,4,83%,64%,56%,84%,https://www.youtube.com/embed/I_Zd5zQzLho
181,Kia,VENGA?,2010,4,79%,66%,64%,71%,https://www.youtube.com/embed/GiBuhFYjadY
182,Citroen,NEMO,2010,3,59%,74%,55%,29%,https://www.youtube.com/embed/87emMrIOyAk
183,Suzuki,SWIFT,2010,5,94%,82%,62%,71%,https://www.youtube.com/embed/6AC7VWkmo64
184,Hyundai,IX35,2010,5,90%,88%,54%,71%,https://www.youtube.com/embed/WMty3nqVnPk
185,Volkswagen,SHARAN?,2010,5,96%,80%,46%,71%,https://www.youtube.com/embed/m3IM59tmvyQ
186,Volkswagen,PASSAT,2010,5,91%,77%,54%,71%,https://www.youtube.com/embed/le94KiRSY8A
187,Volkswagen,AMAROK,2010,4,86%,64%,47%,57%,https://www.youtube.com/embed/fUmX4a-E2Qo
188,Seat,ALHAMBRA,2010,5,96%,80%,46%,71%,https://www.youtube.com/embed/m3IM59tmvyQ
189,Nissan,MICRA,2010,4,84%,79%,58%,57%,https://www.youtube.com/embed/c7BGXD9lUV4
190,BMW,COUNTRYMAN?,2010,5,84%,83%,63%,71%,https://www.youtube.com/embed/wsg6Ub6HnaA
191,Kia,VENGA?,2010,5,89%,85%,64%,71%,https://www.youtube.com/embed/90dddxNGB40
192,Kia,SPORTAGE,2010,5,93%,86%,49%,86%,https://www.youtube.com/embed/vjqFSuwqICI
193,Jaguar,XF,2010,4,78%,65%,43%,71%,https://www.youtube.com/embed/sNh6g7HlTBs
194,Citroen,C4,2010,5,90%,85%,43%,97%,https://www.youtube.com/embed/u47tyYZu3TQ
195,Audi,A1,2010,5,90%,79%,49%,86%,https://www.youtube.com/embed/SOEuP95YxR4
196,Skoda,CITIGO,2011,5,89%,80%,46%,86%,https://www.youtube.com/embed/xYZ2ALnQqO4
197,Seat,MII,2011,5,89%,80%,46%,86%,https://www.youtube.com/embed/xYZ2ALnQqO4
198,Peugeot,ION?,2011,4,73%,78%,48%,86%,https://www.youtube.com/embed/nJiAyzVmwAk
199,Nissan,JUKE,2011,5,87%,81%,41%,71%,https://www.youtube.com/embed/Zlzv4ZSeg4w
200,Mitsubishi,ASX,2011,5,86%,78%,60%,71%,https://www.youtube.com/embed/1VzKCJDN2ts
201,Hyundai,IX20,2011,5,89%,85%,64%,71%,https://www.youtube.com/embed/90dddxNGB40
